,Unnamed: 0,Lyric Generated,Genre,Predicted_Genre,Country Probability,Hip-Hop Probability
109,44,yeah ima keep never tell me let we still around yeah ,country,rap,0.023008233,0.97699183
110,45,yeah come is test heart ,country,rap,0.186639,0.8133609
111,46,yeah you dont im the go that my you on me the get ,country,rap,0.4968973,0.5031027
112,47,yeah its only in the way we im in the the dance ,country,rap,0.46888024,0.53111976
113,48,yeah they big move much road ,country,country,0.69149506,0.30850494
114,49,yeah im drink rich lil baby ,country,rap,0.07297527,0.9270247
115,50,yeah im kiss that tryna tryna goes forever too good you go away ,country,rap,0.0008887092,0.99911124
116,51,yeah hit in my mind ,country,rap,0.49278122,0.50721884
117,52,yes pistol never play what it down dont slide it it it it ,country,country,0.6670368,0.33296323
118,53,yes bout where na top cant stay woo ,country,rap,0.22220738,0.77779263
119,54,yes outro drake ,country,country,0.62155753,0.37844247
120,55,yes move get from nigga nobody my niggas like ,country,rap,0.00022454887,0.99977547
121,56,yes ring going hot thats mill summer nicki boys ,country,rap,0.3184623,0.6815376
122,57,yes shes break many never hard we pussy like slow things ,country,rap,0.35008588,0.64991415
123,58,yes fire enough even ride ,country,country,0.6099592,0.39004084
124,59,yes ,country,country,0.61035013,0.38964984
125,60,yes in in my only cold your cant in in ,country,country,0.6528828,0.34711713
126,61,yes please leave young who im be day what you gave ,country,country,0.6001491,0.39985093
127,62,yes outro megan scott do ,country,country,0.53397006,0.4660299
128,63,yes watchin wear about too stefani ,country,country,0.5986782,0.40132186
129,64,yes real keep what can be here like gonna yeah ,country,country,0.50702643,0.49297363
